gene,mimNumber,preferredTitle
PRKD1,605435,PROTEIN KINASE D1; PRKD1
NEK11,609779,NIMA-RELATED KINASE 11; NEK11
CILK1,612325,INTESTINAL CELL KINASE; ICK
STYK1,611433,SERINE/THREONINE/TYROSINE KINASE 1; STYK1
CAMK2B,607707,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE II-BETA; CAMK2B
MAPK9,602896,MITOGEN-ACTIVATED PROTEIN KINASE 9; MAPK9
RPS6KB2,608939,RIBOSOMAL PROTEIN S6 KINASE B2; RPS6KB2
WNK1,605232,"PROTEIN KINASE, LYSINE-DEFICIENT 1; WNK1"
DAPK3,603289,DEATH-ASSOCIATED PROTEIN KINASE 3; DAPK3
PDGFRA,173490,"PLATELET-DERIVED GROWTH FACTOR RECEPTOR, ALPHA; PDGFRA"
CDK2,116953,CYCLIN-DEPENDENT KINASE 2; CDK2
SBK1,620212,SH3 DOMAIN-BINDING KINASE 1; SBK1
YES1,164880,V-YES-1 YAMAGUCHI SARCOMA VIRAL ONCOGENE; YES1
IPPK,619043,INOSITOL-PENTAKISPHOSPHATE 2-KINASE; IPPK
LRRK2,609007,LEUCINE-RICH REPEAT KINASE 2; LRRK2
VRK3,619771,VRK SERINE/THREONINE KINASE 3; VRK3
RPS6KA5,603607,RIBOSOMAL PROTEIN S6 KINASE A5; RPS6KA5
PKMYT1,602474,"PROTEIN KINASE, MEMBRANE-ASSOCIATED TYROSINE/THREONINE, 1; PKMYT1"
PIK3R4,602610,"PHOSPHATIDYLINOSITOL 3-KINASE, REGULATORY SUBUNIT 4; PIK3R4"
PAK2,605022,p21 PROTEIN-ACTIVATED KINASE 2; PAK2
ILK,602366,INTEGRIN-LINKED KINASE; ILK
PRPF4B,602338,PRE-mRNA-PROCESSING FACTOR 4B; PRPF4B
CDK8,603184,CYCLIN-DEPENDENT KINASE 8; CDK8
CDC7,603311,CELL DIVISION CYCLE 7; CDC7
RPS6KB1,608938,RIBOSOMAL PROTEIN S6 KINASE B1; RPS6KB1
TTBK1,619415,TAU TUBULIN KINASE 1; TTBK1
GRK7,606987,G PROTEIN-COUPLED RECEPTOR KINASE 7; GRK7
RNASEL,180435,RIBONUCLEASE L; RNASEL
MAP3K11,600050,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 11; MAP3K11
MAP3K9,600136,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 9; MAP3K9
MAP3K4,602425,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 4; MAP3K4
WEE1,193525,WEE1 G2 CHECKPOINT KINASE; WEE1
NTRK3,191316,"NEUROTROPHIC TYROSINE KINASE, RECEPTOR, TYPE 3; NTRK3"
NEK5,616731,NIMA-RELATED KINASE 5; NEK5
PRKACB,176892,"PROTEIN KINASE, cAMP-DEPENDENT, CATALYTIC, BETA; PRKACB"
PHKG1,172470,"PHOSPHORYLASE KINASE, MUSCLE, GAMMA-1; PHKG1"
TGFBR2,190182,"TRANSFORMING GROWTH FACTOR-BETA RECEPTOR, TYPE II; TGFBR2"
MAP3K21,614793,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 21; MAP3K21
IKBKE,605048,"INHIBITOR OF NUCLEAR FACTOR KAPPA-B KINASE, SUBUNIT EPSILON; IKBKE"
EPHB1,600600,EPHRIN RECEPTOR EphB1; EPHB1
PDPK1,605213,3-PHOSPHOINOSITIDE-DEPENDENT PROTEIN KINASE 1; PDPK1
RPS6KA2,601685,RIBOSOMAL PROTEIN S6 KINASE A2; RPS6KA2
MAP3K13,604915,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 13; MAP3K13
STRADB,607333,STE20-RELATED KINASE ADAPTOR BETA; STRADB
TTN,188840,TITIN; TTN
MAPK14,600289,MITOGEN-ACTIVATED PROTEIN KINASE 14; MAPK14
KALRN,604605,KALIRIN; KALRN
TGFBR1,190181,"TRANSFORMING GROWTH FACTOR-BETA RECEPTOR, TYPE I; TGFBR1"
FYN,137025,"FYN PROTOONCOGENE, SRC FAMILY TYROSINE KINASE; FYN"
TEC,600583,TEC PROTEIN TYROSINE KINASE; TEC
PTK2,600758,"PROTEIN-TYROSINE KINASE, CYTOPLASMIC; PTK2"
CDC42BPG,613991,"CDC42-BINDING PROTEIN KINASE, GAMMA; CDC42BPG"
ACVR1B,601300,"ACTIVIN A RECEPTOR, TYPE IB; ACVR1B"
CDK6,603368,CYCLIN-DEPENDENT KINASE 6; CDK6
TRIB3,607898,TRIBBLES PSEUDOKINASE 3; TRIB3
INSR,147670,INSULIN RECEPTOR; INSR
ERBB3,190151,ERB-B2 RECEPTOR TYROSINE KINASE 3; ERBB3
MAPK8,601158,MITOGEN-ACTIVATED PROTEIN KINASE 8; MAPK8
IRAK2,603304,INTERLEUKIN 1 RECEPTOR-ASSOCIATED KINASE 2; IRAK2
PRKD3,607077,"PROTEIN KINASE C, NU; PRKCN"
ULK3,613472,UNC51-LIKE KINASE 3; ULK3
AKT1,164730,AKT SERINE/THREONINE KINASE 1; AKT1
MAP4K5,604923,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE KINASE 5; MAP4K5
POMK,615247,PROTEIN-O-MANNOSE KINASE; POMK
HCK,142370,"HCK PROTOONCOGENE, SRC FAMILY TYROSINE KINASE; HCK"
CAMKK1,611411,"CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE KINASE 1, ALPHA; CAMKK1"
MAP3K15,300820,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 15; MAP3K15
MAPK12,602399,MITOGEN-ACTIVATED PROTEIN KINASE 12; MAPK12
LMTK2,610989,LEMUR TYROSINE KINASE 2; LMTK2
CDK13,603309,CYCLIN-DEPENDENT KINASE 13; CDK13
DSTYK,612666,DUAL SERINE/THREONINE AND TYROSINE PROTEIN KINASE; DSTYK
BMP2K,617648,BMP2-INDUCIBLE KINASE; BMP2K
PRKAA2,600497,"PROTEIN KINASE, AMP-ACTIVATED, CATALYTIC, ALPHA-2; PRKAA2"
RPS6KC1,617517,RIBOSOMAL PROTEIN S6 KINASE C1; RPS6KC1
MYLK2,606566,MYOSIN LIGHT CHAIN KINASE 2; MYLK2
MST1R,600168,MACROPHAGE STIMULATING 1 RECEPTOR; MST1R
PI4KA,600286,"PHOSPHATIDYLINOSITOL 4-KINASE, ALPHA; PI4KA"
LATS2,604861,LARGE TUMOR SUPPRESSOR KINASE 2; LATS2
RPS6KA6,300303,RIBOSOMAL PROTEIN S6 KINASE A6; RPS6KA6
MTOR,601231,MECHANISTIC TARGET OF RAPAMYCIN; MTOR
EPHB6,602757,EPHRIN RECEPTOR EphB6; EPHB6
CAMK2D,607708,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE II-DELTA; CAMK2D
DCLK1,604742,DOUBLECORTIN-LIKE KINASE 1; DCLK1
FLT4,136352,FMS-LIKE TYROSINE KINASE 4; FLT4
ETNK1,609858,ETHANOLAMINE KINASE 1; ETNK1
RPS6KA3,300075,RIBOSOMAL PROTEIN S6 KINASE A3; RPS6KA3
CDK18,169190,CYCLIN-DEPENDENT KINASE 18; CDK18
TRIO,609761,TRIO- AND F-ACTIN-BINDING PROTEIN; TRIOBP
RPS6KL1,Not Found,Not Found
TTBK2,611695,TAU TUBULIN KINASE 2; TTBK2
BMX,300101,"BONE MARROW KINASE, X-LINKED; BMX"
PIK3C2G,609001,"PHOSPHATIDYLINOSITOL 3-KINASE, CLASS 2, GAMMA; PIK3C2G"
TNK2,606994,"TYROSINE KINASE, NONRECEPTOR, 2; TNK2"
BMPR1B,603248,"BONE MORPHOGENETIC PROTEIN RECEPTOR, TYPE IB; BMPR1B"
IRAK1,300283,INTERLEUKIN 1 RECEPTOR-ASSOCIATED KINASE 1; IRAK1
KSR1,601132,KINASE SUPPRESSOR OF RAS 1; KSR1
ERBB4,600543,ERB-B2 RECEPTOR TYROSINE KINASE 4; ERBB4
MARK1,606511,MAP/MICROTUBULE AFFINITY-REGULATING KINASE 1; MARK1
JAK1,147795,JANUS KINASE 1; JAK1
CSNK1G3,604253,"CASEIN KINASE I, GAMMA-3; CSNK1G3"
MAP4K2,603166,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE KINASE 2; MAP4K2
MYO3B,610040,MYOSIN IIIB; MYO3B
IRAK4,606883,INTERLEUKIN 1 RECEPTOR-ASSOCIATED KINASE 4; IRAK4
IP6K3,606993,INOSITOL HEXAPHOSPHATE KINASE 3; IP6K3
AURKC,603495,AURORA KINASE C; AURKC
AXL,109135,AXL RECEPTOR TYROSINE KINASE; AXL
TYK2,176941,TYROSINE KINASE 2; TYK2
PLK5,Not Found,Not Found
AAK1,616405,ADAPTOR PROTEIN 2-ASSOCIATED KINASE 1; AAK1
STK3,605030,SERINE/THREONINE PROTEIN KINASE 3; STK3
MAST3,612258,MICROTUBULE-ASSOCIATED SERINE/THREONINE KINASE 3; MAST3
PAK4,605451,p21 PROTEIN-ACTIVATED KINASE 4; PAK4
TRPM7,605692,"TRANSIENT RECEPTOR POTENTIAL CATION CHANNEL, SUBFAMILY M, MEMBER 7; TRPM7"
TAOK1,610266,TAO KINASE 1; TAOK1
FES,190030,"FES PROTOONCOGENE, TYROSINE KINASE; FES"
WNK4,601844,"PROTEIN KINASE, LYSINE-DEFICIENT 4; WNK4"
CDK14,610679,CYCLIN-DEPENDENT KINASE 14; CDK14
TRPM6,607009,"TRANSIENT RECEPTOR POTENTIAL CATION CHANNEL, SUBFAMILY M, MEMBER 6; TRPM6"
BMPR1A,601299,"BONE MORPHOGENETIC PROTEIN RECEPTOR, TYPE IA; BMPR1A"
SNRK,612760,SNF-RELATED KINASE; SNRK
STK32B,119530,OROFACIAL CLEFT 1; OFC1
ANKK1,608774,ANKYRIN REPEAT- AND KINASE DOMAIN-CONTAINING PROTEIN 1; ANKK1
ITK,186973,IL2-INDUCIBLE T-CELL KINASE; ITK
NEK10,618726,NIMA-RELATED KINASE 10; NEK10
PIK3CA,171834,"PHOSPHATIDYLINOSITOL 3-KINASE, CATALYTIC, ALPHA; PIK3CA"
PKDCC,614150,"PROTEIN KINASE DOMAIN-CONTAINING PROTEIN, CYTOPLASMIC; PKDCC"
FAM20C,611061,"FAMILY WITH SEQUENCE SIMILARITY 20, MEMBER C; FAM20C"
PIKFYVE,604632,VAC14 COMPONENT OF PIKFYVE COMPLEX; VAC14
PBK,611210,PDZ-BINDING KINASE; PBK
ALK,105590,ANAPLASTIC LYMPHOMA KINASE; ALK
STK33,607670,SERINE/THREONINE PROTEIN KINASE 33; STK33
ROR1,602336,RECEPTOR TYROSINE KINASE-LIKE ORPHAN RECEPTOR 1; ROR1
BRSK2,609236,BR SERINE/THREONINE KINASE 2; BRSK2
EPHA6,600066,EPHRIN RECEPTOR EphA6; EPHA6
SMG1,607032,SMG1 NONSENSE-MEDIATED mRNA DECAY-ASSOCIATED PI3K-RELATED KINASE; SMG1
ADCK1,620399,AARF DOMAIN-CONTAINING KINASE 1; ADCK1
EIF2AK2,176871,EUKARYOTIC TRANSLATION INITIATION FACTOR 2-ALPHA KINASE 2; EIF2AK2
CHEK2,604373,CHECKPOINT KINASE 2; CHEK2
TEK,600221,"TEK TYROSINE KINASE, ENDOTHELIAL; TEK"
STK24,604984,SERINE/THREONINE PROTEIN KINASE 24; STK24
MAPKAPK5,606723,MITOGEN-ACTIVATED PROTEIN KINASE-ACTIVATED PROTEIN KINASE 5; MAPKAPK5
MAPKAPK2,602006,MITOGEN-ACTIVATED PROTEIN KINASE-ACTIVATED PROTEIN KINASE 2; MAPKAPK2
PINK1,608309,PTEN-INDUCED KINASE 1; PINK1
PTK2B,601212,"PROTEIN-TYROSINE KINASE 2, BETA; PTK2B"
LMTK3,619624,LEMUR TYROSINE KINASE 3; LMTK3
MARK3,602678,MAP/MICROTUBULE AFFINITY-REGULATING KINASE 3; MARK3
CHUK,600664,COMPONENT OF NUCLEAR FACTOR KAPPA-B KINASE COMPLEX; CHUK
NEK2,604043,NIMA-RELATED KINASE 2; NEK2
AKT2,164731,AKT SERINE/THREONINE KINASE 2; AKT2
SCYL3,608192,SCY1-LIKE PROTEIN 3; SCYL3
CDK11A,116951,CYCLIN-DEPENDENT KINASE 11A; CDK11A
SPEG,615950,SPEG COMPLEX LOCUS; SPEG
DYRK1B,604556,DUAL-SPECIFICITY TYROSINE PHOSPHORYLATION-REGULATED KINASE 1B; DYRK1B
CDKL2,603442,CYCLIN-DEPENDENT KINASE-LIKE 2; CDKL2
RYK,600524,RYK RECEPTOR-LIKE TYROSINE KINASE; RYK
CDK1,116940,CYCLIN-DEPENDENT KINASE 1; CDK1
MLKL,615153,MIXED LINEAGE KINASE DOMAIN-LIKE PROTEIN; MLKL
KDR,191306,KINASE INSERT DOMAIN RECEPTOR; KDR
TAOK2,613199,TAO KINASE 2; TAOK2
SIK2,608973,SALT-INDUCIBLE KINASE 2; SIK2
PEAK1,614248,PSEUDOPODIUM-ENRICHED ATYPICAL KINASE 1
LRRK1,610986,LEUCINE-RICH REPEAT KINASE 1; LRRK1
SGK2,607589,SERUM/GLUCOCORTICOID-REGULATED KINASE 2; SGK2
EPHA10,611123,EPHRIN RECEPTOR EphA10; EPHA10
ULK2,608650,UNC51-LIKE AUTOPHAGY-ACTIVATING KINASE 2; ULK2
NEK1,604588,NIMA-RELATED KINASE 1; NEK1
ITPKA,147521,"INOSITOL 1,4,5-TRISPHOSPHATE 3-KINASE A; ITPKA"
CDKL4,Not Found,Not Found
DCLK2,613166,DOUBLECORTIN-LIKE KINASE 2; DCLK2
ROS1,165020,"ROS PROTOONCOGENE 1, RECEPTOR TYROSINE KINASE; ROS1"
JAK2,147796,JANUS KINASE 2; JAK2
TXK,600058,PROTEIN TYROSINE KINASE TXK; TXK
PIM3,610580,ONCOGENE PIM3; PIM3
WEE2,614084,WEE1 HOMOLOG 2; WEE2
CDK7,601955,CYCLIN-DEPENDENT KINASE 7; CDK7
ACVR1,102576,"ACTIVIN A RECEPTOR, TYPE I; ACVR1"
TESK2,604746,TESTIS-ASSOCIATED ACTIN-MODELING KINASE 2; TESK2
RIOK1,617753,RIO KINASE 1; RIOK1
CDK9,603251,CYCLIN-DEPENDENT KINASE 9; CDK9
ACVR2A,102581,"ACTIVIN A RECEPTOR, TYPE IIA; ACVR2A"
EPHA8,176945,EPHRIN RECEPTOR EphA8; EPHA8
FGR,164940,"FGR PROTOONCOGENE, SRC FAMILY TYROSINE KINASE; FGR"
DDR1,600408,"DISCOIDIN DOMAIN RECEPTOR FAMILY, MEMBER 1; DDR1"
FLT1,165070,FMS-RELATED TYROSINE KINASE 1; FLT1
BLK,191305,"BLK PROTOONCOGENE, SRC FAMILY TYROSINE KINASE; BLK"
CAMK2A,114078,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE II-ALPHA; CAMK2A
AKT3,611223,AKT SERINE/THREONINE KINASE 3; AKT3
ACVRL1,601284,"ACTIVIN A RECEPTOR, TYPE II-LIKE 1; ACVRL1"
CDK10,603464,CYCLIN-DEPENDENT KINASE 10; CDK10
FGFR3,134934,FIBROBLAST GROWTH FACTOR RECEPTOR 3; FGFR3
ARAF,311010,"ARAF PROTOONCOGENE, SERINE/THREONINE KINASE; ARAF"
TRRAP,603015,TRANSFORMATION/TRANSCRIPTION DOMAIN-ASSOCIATED PROTEIN; TRRAP
NEK7,606848,NIMA-RELATED KINASE 7; NEK7
AATK,605276,APOPTOSIS-ASSOCIATED TYROSINE KINASE; AATK
SRPK2,602980,SRSF PROTEIN KINASE 2; SRPK2
MAPK15,618616,MITOGEN-ACTIVATED PROTEIN KINASE 15; MAPK15
CASK,300172,CALCIUM/CALMODULIN-DEPENDENT SERINE PROTEIN KINASE; CASK
ACVR2B,602730,"ACTIVIN A RECEPTOR, TYPE IIB; ACVR2B"
GSK3B,605004,GLYCOGEN SYNTHASE KINASE 3-BETA; GSK3B
MASTL,608221,MICROTUBULE-ASSOCIATED SERINE/THREONINE KINASE-LIKE; MASTL
NEK8,609799,NIMA-RELATED KINASE 8; NEK8
MARK2,600526,MAP/MICROTUBULE AFFINITY-REGULATING KINASE 2; MARK2
PASK,607505,PAS DOMAIN-CONTAINING SERINE/THREONINE KINASE; PASK
STK32A,Not Found,Not Found
FLT3,136351,FMS-RELATED TYROSINE KINASE 3; FLT3
CAMKV,614993,CAM KINASE-LIKE VESICLE-ASSOCIATED; CAMKV
TEX14,605792,TESTIS-EXPRESSED GENE 14; TEX14
MAPK11,602898,MITOGEN-ACTIVATED PROTEIN KINASE 11; MAPK11
DYRK4,609181,DUAL-SPECIFICITY TYROSINE PHOSPHORYLATION-REGULATED KINASE 4; DYRK4
PIM2,300295,"PIM2 PROTOONCOGENE, SERINE/THREONINE KINASE; PIM2"
MKNK1,606724,MITOGEN-ACTIVATED PROTEIN KINASE-INTERACTING SERINE/THREONINE KINASE 1; MKNK1
IP6K1,606991,INOSITOL HEXAPHOSPHATE KINASE 1; IP6K1
BUB1B,602860,BUB1 MITOTIC CHECKPOINT SERINE/THREONINE KINASE B; BUB1B
KSR2,610737,KINASE SUPPRESSOR OF RAS 2; KSR2
SGK3,607591,SERUM/GLUCOCORTICOID-REGULATED KINASE 3; SGK3
DCLK3,613167,DOUBLECORTIN-LIKE KINASE 3; DCLK3
BMPR2,600799,"BONE MORPHOGENETIC PROTEIN RECEPTOR, TYPE II; BMPR2"
STK4,604965,SERINE/THREONINE PROTEIN KINASE 4; STK4
STK36,607652,SERINE/THREONINE PROTEIN KINASE 36; STK36
RSKR,Not Found,Not Found
DYRK2,603496,DUAL-SPECIFICITY TYROSINE PHOSPHORYLATION-REGULATED KINASE 2; DYRK2
EIF2AK1,613635,EUKARYOTIC TRANSLATION INITIATION FACTOR 2-ALPHA KINASE 1; EIF2AK1
EPHB2,600997,EPHRIN RECEPTOR EphB2; EPHB2
MAPK4,176949,MITOGEN-ACTIVATED PROTEIN KINASE 4; MAPK4
IRAK3,604459,INTERLEUKIN 1 RECEPTOR-ASSOCIATED KINASE 3; IRAK3
CDK16,311550,CYCLIN-DEPENDENT KINASE 16; CDK16
IKBKB,603258,"INHIBITOR OF NUCLEAR FACTOR KAPPA-B KINASE, SUBUNIT BETA; IKBKB"
STK16,604719,SERINE/THREONINE PROTEIN KINASE 16; STK16
PAK5,608038,p21 PROTEIN-ACTIVATED KINASE 5; PAK5
ETNK2,609859,ETHANOLAMINE KINASE 2; ETNK2
DYRK1A,600855,DUAL-SPECIFICITY TYROSINE PHOSPHORYLATION-REGULATED KINASE 1A; DYRK1A
PI4K2B,612101,"PHOSPHATIDYLINOSITOL 4-KINASE, TYPE 2, BETA; PI4K2B"
CDK19,614720,CYCLIN-DEPENDENT KINASE 19; CDK19
FAM20B,611063,FAM20B GLYCOSAMINOGLYCAN XYLOSYLKINASE; FAM20B
MAP2K1,176872,MITOGEN-ACTIVATED PROTEIN KINASE KINASE 1; MAP2K1
TESK1,601782,TESTIS-ASSOCIATED ACTIN-MODELING KINASE 1; TESK1
ULK1,603168,UNC51-LIKE AUTOPHAGY-ACTIVATING KINASE 1; ULK1
PDPK2P,Not Found,Not Found
DMPK,605377,DYSTROPHIA MYOTONICA PROTEIN KINASE; DMPK
PIK3CG,601232,"PHOSPHATIDYLINOSITOL 3-KINASE, CATALYTIC, GAMMA; PIK3CG"
ADCK5,Not Found,Not Found
MAP2K2,601263,MITOGEN-ACTIVATED PROTEIN KINASE KINASE 2; MAP2K2
PSKH1,177015,PROTEIN SERINE KINASE H1; PSKH1
LIMK2,601988,LIM DOMAIN KINASE 2; LIMK2
VRK2,602169,VRK SERINE/THREONINE KINASE 2; VRK2
STK38,606964,SERINE/THREONINE PROTEIN KINASE 38; STK38
PAN3,617448,PABP-DEPENDENT POLY(A) NUCLEASE 3; PAN3
PRKCH,605437,"PROTEIN KINASE C, ETA; PRKCH"
CSNK2A3,Not Found,Not Found
CDC42BPB,614062,"CDC42-BINDING PROTEIN KINASE, BETA; CDC42BPB"
ABL2,164690,"ABL PROTOONCOGENE 2, NONRECEPTOR TYROSINE KINASE; ABL2"
HUNK,606532,HORMONALLY UPREGULATED NEU-ASSOCIATED KINASE; HUNK
PRKCZ,176982,"PROTEIN KINASE C, ZETA FORM; PRKCZ"
ALPK3,617608,ALPHA KINASE 3; ALPK3
PRKCD,176977,"PROTEIN KINASE C, DELTA; PRKCD"
NEK9,609798,NIMA-RELATED KINASE 9; NEK9
MAP2K4,601335,MITOGEN-ACTIVATED PROTEIN KINASE KINASE 4; MAP2K4
MAP2K7,603014,MITOGEN-ACTIVATED PROTEIN KINASE KINASE 7; MAP2K7
NTRK1,191315,"NEUROTROPHIC TYROSINE KINASE, RECEPTOR, TYPE 1; NTRK1"
DAPK1,600831,DEATH-ASSOCIATED PROTEIN KINASE 1; DAPK1
RAF1,164760,"RAF1 PROTOONCOGENE, SERINE/THREONINE KINASE ; RAF1"
SLK,616563,STE20-LIKE PROTEIN KINASE; SLK
SCYL1,607982,SCY1-LIKE 1; SCYL1
MAPK13,602899,MITOGEN-ACTIVATED PROTEIN KINASE 13; MAPK13
NUAK1,608130,"NUAK FAMILY, SNF1-LIKE KINASE, 1; NUAK1"
FN3KRP,611683,FRUCTOSAMINE 3-KINASE-RELATED PROTEIN
STK17A,604726,SERINE/THREONINE PROTEIN KINASE 17A; STK17A
CLK3,602990,CDC-LIKE KINASE 3; CLK3
RPS6KA4,603606,RIBOSOMAL PROTEIN S6 KINASE A4; RPS6KA4
BUB1,602452,BUB1 MITOTIC CHECKPOINT SERINE/THREONINE KINASE; BUB1
BRSK1,609235,BR SERINE/THREONINE KINASE 1; BRSK1
TSSK1B,610709,TESTIS-SPECIFIC SERINE/THREONINE KINASE 1; TSSK1
GRK4,137026,G PROTEIN-COUPLED RECEPTOR KINASE 4; GRK4
RIPK3,605817,RECEPTOR-INTERACTING SERINE/THREONINE KINASE 3; RIPK3
RIPK2,603455,RECEPTOR-INTERACTING SERINE/THREONINE KINASE 2; RIPK2
PRKCQ,600448,"PROTEIN KINASE C, THETA; PRKCQ"
COQ8A,606980,COENZYME Q8A; COQ8A
ERBB2,164870,ERB-B2 RECEPTOR TYROSINE KINASE 2; ERBB2
ATM,607585,ATM SERINE/THREONINE KINASE; ATM
FRK,606573,FYN-RELATED SRC FAMILY TYROSINE KINASE; FRK
CAMK1D,607957,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE I-DELTA; CAMK1D
PSKH2,620394,PROTEIN SERINE KINASE H2; PSKH2
TP53RK,608679,TP53-REGULATING KINASE; TP53RK
MAP3K7,605101,TAK1-BINDING PROTEIN 2; TAB2
PLK4,605031,POLO-LIKE KINASE 4; PLK4
VRK1,602168,VRK SERINE/THREONINE KINASE 1; VRK1
RIPK1,603453,RECEPTOR-INTERACTING SERINE/THREONINE KINASE 1; RIPK1
CHEK1,603078,CHECKPOINT KINASE 1; CHEK1
CDK4,123829,CYCLIN-DEPENDENT KINASE 4; CDK4
AURKA,603072,AURORA KINASE A; AURKA
SBK2,620414,"SH3 DOMAIN-BINDING KINASE FAMILY, MEMBER 2; SBK2"
MAPK1,176948,MITOGEN-ACTIVATED PROTEIN KINASE 1; MAPK1
TSSK4,610711,TESTIS-SPECIFIC SERINE/THREONINE KINASE 4; TSSK4
WNK3,300358,"PROTEIN KINASE, LYSINE-DEFICIENT 3; WNK3"
PIK3C2A,603601,"PHOSPHATIDYLINOSITOL 3-KINASE, CLASS 2, ALPHA; PIK3C2A"
CIT,605629,CITRON RHO-INTERACTING SERINE/THREONINE KINASE; CIT
ALPK2,619965,ALPHA KINASE 2; ALPK2
PRKD2,607074,PROTEIN KINASE D2; PRKD2
SYK,600085,PROTEIN-TYROSINE KINASE SYK; SYK
TNK1,608076,"TYROSINE KINASE, NONRECEPTOR, 1; TNK1"
ABL1,189980,"ABL PROTOONCOGENE 1, NONRECEPTOR TYROSINE KINASE; ABL1"
NEK3,604044,NIMA-RELATED KINASE 3; NEK3
TBK1,604834,TANK-BINDING KINASE 1; TBK1
MAST2,612257,MICROTUBULE-ASSOCIATED SERINE/THREONINE KINASE 2; MAST2
LTK,151520,LEUKOCYTE TYROSINE KINASE; LTK
NEK4,601959,NIMA-RELATED KINASE 4; NEK4
CHKB,612395,"CHOLINE KINASE, BETA; CHKB"
MERTK,604705,MER TYROSINE KINASE PROTOONCOGENE; MERTK
NRBP2,615563,NUCLEAR RECEPTOR-BINDING PROTEIN 2; NRBP2
PNCK,300680,"PREGNANCY-UPREGULATED, NONUBIQUITOUS, CAM KINASE; PNCK"
IPMK,609851,INOSITOL POLYPHOSPHATE MULTIKINASE; IPMK
EPHA7,602190,EPHRIN RECEPTOR EphA7; EPHA7
